E029 E02F
D638 D63E
33A8 33AE
2B76 2B70
CAB6 CAB0
DC7C DC7A
2B87 2B81
1082 1084
2949 294F
FDDF FDD9
C5DE C5D8
C061 C067
B79D B79B
BB6F BB69
FC23 FC25
7E75 7E73
2E3C 2E3A
B5AF B5A9
EDA6 EDA0
27EA 27EC
40CF 40C9
C1D3 C1D5
ECBC ECBA
C767 C761
4F80 4F86
238E 2388
E876 E870
9FD0 9FD6
49E0 49E6
54F0 54F6
DD76 DD70
EA9B EA9D
47FE 47F8
F251 F257
CE50 CE56
9E9B 9E9D
7F73 7F75
D0E0 D0E6
C7B8 C7BE
38E8 38EE
0358 035E
DB0A DB0C
73C9 73CF
F725 F723
CA2B CA2D
125D 125B
A893 A895
3F70 3F76
DB6B DB6D
3DB8 3DBE
DC4D DC4B
47E5 47E3
BBF4 BBF2
F4E0 F4E6
D552 D554
B4BB B4BD
9C2C 9C2A
0AD3 0AD5
5150 5156
5867 5861
3A57 3A51
1E20 1E26
785B 785D
B483 B485
11FF 11F9
92FA 92FC
CFBA CFBC
ECBE ECB8
8D85 8D83
B909 B90F
1AD0 1AD6
A43D A43B
CB9D CB9B
ED16 ED10
5E70 5E76
1D59 1D5F
4A54 4A52
AD32 AD34
D78D D78B
39E8 39EE
762D 762B
DC9C DC9A
3DF9 3DFF
1450 1456
E403 E405
E5AE E5A8
A68F A689
C57D C57B
5A9D 5A9B
F0AF F0A9
22CA 22CC
4697 4691
08DF 08D9
B113 B115
348C 348A
1F0C 1F0A
52F6 52F0
05CF 05C9
CEB1 CEB7
B741 B747
DD71 DD77
A4B2 A4B4
4F5E 4F58
0EF4 0EF2
3A2B 3A2D
B325 B323
31A6 31A0
D90E D908
ACA2 ACA4
B396 B390
1286 1280
5ECA 5ECC
2BDD 2BDB
2708 270E
DAF8 DAFE
F486 F480
8E2B 8E2D
9C47 9C41
C61E C618
3A14 3A12
6CAA 6CAC
A3EC A3EA
16F0 16F6
AF8F AF89
4492 4494
0D5E 0D58
B7C4 B7C2
78B6 78B0
41E4 41E2
4887 4881
6FF1 6FF7
95DB 95DD
EFFF EFF9
3AA1 3AA7
53A4 53A2
A371 A377
7198 719E
89BE 89B8
4BB6 4BB0
FDD5 FDD3
0CBA 0CBC
6847 6841
A186 A180
22D8 22DE
10DB 10DD
AAE7 AAE1
070D 070B
06D1 06D7
AE59 AE5F
6473 6475
4AA4 4AA2
04A4 04A2
2BEE 2BE8
05E1 05E7
17C4 17C2
0110 0116
DF72 DF74
67F2 67F4
FF9A FF9C
5037 5031
0180 0186
E692 E694
2A45 2A43
A2DD A2DB
C45A C45C
312A 312C
88AF 88A9
063F 0639
D492 D494
0608 060E
F209 F20F
192A 192C
D25E D258
091B 091D
FC8B FC8D
1C73 1C75
3300 3306
1469 146F
3FA4 3FA2
4412 4414
C98B C98D
31D2 31D4
BA35 BA33
4527 4521
9F48 9F4E
9720 9726
B8BB B8BD
CAA6 CAA0
CAD2 CAD4
C041 C047
AF6A AF6C
EE5B EE5D
94B8 94BE
8DB5 8DB3
FA99 FA9F
BC37 BC31
25E8 25EE
4FED 4FEB
4252 4254
832E 8328
765D 765B
A493 A495
8747 8741
BC45 BC43
2065 2063
A7B3 A7B5
D23E D238
A585 A583
536B 536D
DF7F DF79
EB56 EB50
9AEB 9AED
7E53 7E55
4795 4793
154F 1549
DE06 DE00
3D2E 3D28
0B4F 0B49
317C 317A
E4AA E4AC
BFAF BFA9
EF3D EF3B
8E5B 8E5D
C975 C973
3397 3391
5B39 5B3F
E07E E078
26AC 26AA
5A19 5A1F
4A65 4A63
FBBD FBBB
AE02 AE04
7730 7736
15E0 15E6
22E7 22E1
BAFE BAF8
8E7A 8E7C
000B 000D
9901 9907
0D15 0D13
150F 1509
D113 D115
3C8C 3C8A
E4DB E4DD
BE22 BE24
5997 5991
49AE 49A8
033C 033A
73B9 73BF
4B35 4B33
D273 D275
AC68 AC6E
52F9 52FF
C7E3 C7E5
E401 E407
1E8C 1E8A
68EC 68EA
9B9B 9B9D
6884 6882
AF1B AF1D
052A 052C
9F98 9F9E
9F47 9F41
0116 0110
C380 C386
F4B8 F4BE
76FB 76FD
74CA 74CC
F5BC F5BA
8287 8281
2705 2703
4753 4755
84F2 84F4
B6A2 B6A4
F7C9 F7CF
D7BA D7BC
F1BF F1B9
8E90 8E96
3A7F 3A79
85F8 85FE
02E1 02E7
5590 5596
9FBD 9FBB
FB7F FB79
00BF 00B9
4284 4282
8E93 8E95
B826 B820
2BAD 2BAB
D84F D849
BF0E BF08
B604 B602
047A 047C
EFA9 EFAF
D04F D049
16EF 16E9
8712 8714
F5AF F5A9
9086 9080
32E4 32E2
2A62 2A64
DB82 DB84
0193 0195
9877 9871
20A7 20A1
CB77 CB71
A3A7 A3A1
2A2A 2A2C
54D4 54D2
2CBA 2CBC
E9B3 E9B5
2CC4 2CC2
2355 2353
8E11 8E17
A161 A167
E678 E67E
1CD1 1CD7
60A3 60A5
EBE1 EBE7
9E55 9E53
C7DC C7DA
CD6E CD68
F07B F07D
1F6D 1F6B
31AD 31AB
2D91 2D97
65DA 65DC
B2E0 B2E6
D5BA D5BC
9E09 9E0F
AF2D AF2B
2048 204E
D414 D412
8FC8 8FCE
8D5B 8D5D
367B 367D
1031 1037
A56B A56D
9847 9841
1195 1193
5197 5191
38FF 38F9
3CB9 3CBF
8337 8331
267D 267B
67EA 67EC
9646 9640
E925 E923
03BA 03BC
3211 3217
1C0C 1C0A
8344 8342
80BA 80BC
07EB 07ED
AA7D AA7B
5669 566F
28F4 28F2
9BCA 9BCC
432F 4329
D82D D82B
4280 4286
C2E2 C2E4
3674 3672
2303 2305
5501 5507
475C 475A
08F0 08F6
95F1 95F7
6D22 6D24
C928 C92E
A28E A288
D779 D77F
A898 A89E
9616 9610
C187 C181
1BDB 1BDD
8603 8605
6B1B 6B1D
CEA9 CEAF
6DD5 6DD3
2769 276F
1FAD 1FAB
BD0A BD0C
A791 A797
E00F E009
D6A9 D6AF
198E 1988
EBB7 EBB1
38B1 38B7
8F40 8F46
96F1 96F7
8328 832E
916B 916D
F22F F229
3363 3365
C854 C852
6F9C 6F9A
EBBC EBBA
389C 389A
7AC8 7ACE
0C46 0C40
077D 077B
174B 174D
C623 C625
C502 C504
3CC8 3CCE
F0E3 F0E5
2BC4 2BC2
661A 661C
11FA 11FC
21F5 21F3
2B7B 2B7D
789C 789A
62FA 62FC
70B2 70B4
88EF 88E9
5403 5405
8771 8777
59B9 59BF
4A67 4A61
BD32 BD34
7F01 7F07
8A25 8A23
39D1 39D7
97AE 97A8
E458 E45E
68E2 68E4
1A92 1A94
AB77 AB71
84A0 84A6
90C8 90CE
5E97 5E91
6BF0 6BF6
8228 822E
669B 669D
34EE 34E8
70A5 70A3
1B89 1B8F
082B 082D
E348 E34E
0637 0631
7234 7232
801E 8018
507A 507C
7FFF 7FF9
1786 1780
9C84 9C82
48DE 48D8
AF90 AF96
B8A6 B8A0
DD2D DD2B
B6B5 B6B3
04B9 04BF
8B3E 8B38
75D6 75D0
1930 1936
F0B5 F0B3
3E99 3E9F
837D 837B
1F73 1F75
AA78 AA7E
ABE6 ABE0
6782 6784
5D2F 5D29
5B7A 5B7C
A6E2 A6E4
79D1 79D7
C1E5 C1E3
FA01 FA07
148D 148B
7528 752E
B80B B80D
EA76 EA70
6EB8 6EBE
A21C A21A
0E4D 0E4B
18CB 18CD
0D24 0D22
61BC 61BA
06F9 06FF
E00B E00D
BA24 BA22
3D08 3D0E
9A91 9A97
6F46 6F40
1419 141F
69C2 69C4
EF3D EF3B
1662 1664
ABDF ABD9
44CE 44C8
B778 B77E
F128 F12E
12F1 12F7
B721 B727
33BF 33B9
18F2 18F4
C53C C53A
FF60 FF66
0B91 0B97
599D 599B
A4A4 A4A2
6328 632E
EC28 EC2E
BA6A BA6C
69B4 69B2
BB0F BB09
0A59 0A5F
1BF8 1BFE
5503 5505
B77C B77A
7125 7123
23F7 23F1
26FB 26FD
BA61 BA67
DDD6 DDD0
1CB9 1CBF
F146 F140
E164 E162
DA55 DA53
3D4A 3D4C
D428 D42E
B8A9 B8AF
591D 591B
3785 3783
5D77 5D71
7541 7547
2FEB 2FED
6C5A 6C5C
8678 867E
4177 4171
83B8 83BE
FB9D FB9B
BFED BFEB
F2F1 F2F7
B0AD B0AB
2522 2524
5BC1 5BC7
3717 3711
7F43 7F45
557F 5579
2F39 2F3F
C6B3 C6B5
A7DA A7DC
D3DE D3D8
B9B8 B9BE
E109 E10F
36CF 36C9
066F 0669
3BC8 3BCE
806B 806D
71AE 71A8
4562 4564
4A3C 4A3A
CCE2 CCE4
1E59 1E5F
E9BD E9BB
5265 5263
C466 C460
A6F4 A6F2
8509 850F
AF45 AF43
49BD 49BB
7A3A 7A3C
253A 253C
832D 832B
43A7 43A1
F511 F517
4C60 4C66
46BB 46BD
DDA6 DDA0
C5B4 C5B2
3D26 3D20
D996 D990
025C 025A
87EC 87EA
D829 D82F
C9DA C9DC
D82B D82D
C176 C170
BCFF BCF9
A1BE A1B8
1A80 1A86
2875 2873
8C60 8C66
59F2 59F4
DFB5 DFB3
D541 D547
0940 0946
B3A7 B3A1
BD8B BD8D
F514 F512
AF21 AF27
E5E3 E5E5
F139 F13F
E5C5 E5C3
C78A C78C
47F4 47F2
7FBC 7FBA
CE83 CE85
6A0D 6A0B
29E9 29EF
9EBE 9EB8
660E 6608
6A5D 6A5B
788E 7888
5793 5795
839D 839B
B7C7 B7C1
5337 5331
21C2 21C4
EA4E EA48
8184 8182
96E0 96E6
623A 623C
351A 351C
C4D1 C4D7
FBA7 FBA1
1DB1 1DB7
8D68 8D6E
2C7E 2C78
F0E3 F0E5
D513 D515
AD05 AD03
F417 F411
3B6E 3B68
498F 4989
CD4B CD4D
3A4C 3A4A
EC67 EC61
1B1C 1B1A
92C1 92C7
B4C6 B4C0
FCC4 FCC2
1B0C 1B0A
A644 A642
41B6 41B0
4821 4827
9368 936E
B6EE B6E8
59D7 59D1
252E 2528
7C7C 7C7A
0674 0672
0D70 0D76
89F4 89F2
C27F C279
27AD 27AB
CD9C CD9A
0758 075E
CD3D CD3B
178D 178B
9827 9821
3FD6 3FD0
FA7D FA7B
ACC3 ACC5
89EC 89EA
E919 E91F
CECD CECB
8901 8907
A589 A58F
FCAD FCAB
C928 C92E
244E 2448
99CE 99C8
717F 7179
F3E1 F3E7
D5EE D5E8
E468 E46E
C58F C589
FC74 FC72
2A1E 2A18
5064 5062
299B 299D
C5C4 C5C2
99C8 99CE
1F14 1F12
3192 3194
E5C1 E5C7
7AF8 7AFE
C64F C649
0F31 0F37
F30C F30A
2881 2887
2A16 2A10
25BF 25B9
8EEA 8EEC
E09A E09C
8329 832F
1F3D 1F3B
4856 4850
7D90 7D96
BF9D BF9B
4FC3 4FC5
4C0C 4C0A
1B77 1B71
0295 0293
099C 099A
D3B7 D3B1
62AF 62A9
D4FC D4FA
524D 524B
AC0F AC09
BE4D BE4B
B0B3 B0B5
3472 3474
ECCA ECCC
D953 D955
CD0C CD0A
1261 1267
ECC9 ECCF
6F74 6F72
E5E1 E5E7
C151 C157
83BA 83BC
3C4B 3C4D
2361 2367
EDD9 EDDF
C7EE C7E8
1961 1967
E774 E772
9127 9121
E379 E37F
1523 1525
961D 961B
03FC 03FA
B79B B79D
AF3E AF38
F5FB F5FD
C2BE C2B8
8535 8533
6CFB 6CFD
4C86 4C80
93D1 93D7
3EAC 3EAA
1400 1406
8348 834E
C23F C239
097A 097C
2A5D 2A5B
47AC 47AA
FBE5 FBE3
0981 0987
80EC 80EA
4F74 4F72
0050 0056
44C2 44C4
A3CC A3CA
AD5A AD5C
21D9 21DF
F756 F750
1373 1375
6163 6165
28C4 28C2
B879 B87F
8F18 8F1E
4B3B 4B3D
C175 C173
A1C4 A1C2
1A98 1A9E
00B7 00B1
9D16 9D10
8D0B 8D0D
92C3 92C5
C901 C907
2687 2681
35FA 35FC
1929 192F
5EA5 5EA3
79CD 79CB
9E9A 9E9C
CCBD CCBB
254F 2549
855A 855C
3A5B 3A5D
CAD8 CADE
DDE5 DDE3
C6B5 C6B3
07A1 07A7
2E44 2E42
905C 905A
5964 5962
7ADC 7ADA
06A2 06A4
0F9A 0F9C
AD75 AD73
5D81 5D87
3D92 3D94
8A86 8A80
8856 8850
10E3 10E5
7936 7930
95B4 95B2
ABFC ABFA
7673 7675
2A06 2A00
627E 6278
DB34 DB32
5C63 5C65
EFC0 EFC6
EA98 EA9E
E435 E433
3D87 3D81
CB35 CB33
832B 832D
343F 3439
FF39 FF3F
970C 970A
1B60 1B66
C823 C825
822E 8228
F46E F468
A3A5 A3A3
69D7 69D1
DC10 DC16
9FB3 9FB5
73D6 73D0
BFFE BFF8
6C07 6C01
8414 8412
9691 9697
6D9F 6D99
C566 C560
9B50 9B56
17E6 17E0
3076 3070
AC01 AC07
73F9 73FF
AFCC AFCA
F24A F24C
F266 F260
484D 484B
FDA5 FDA3
C725 C723
3774 3772
D2FB D2FD
C9C2 C9C4
605E 6058
48D9 48DF
8258 825E
820A 820C
9FB3 9FB5
FE97 FE91
6E56 6E50
648E 6488
7684 7682
86F3 86F5
4B5A 4B5C
DD4B DD4D
B6EE B6E8
5323 5325
DA3E DA38
BF9D BF9B
0877 0871
743E 7438
4681 4687
A6E6 A6E0
B300 B306
2E6D 2E6B
EC1C EC1A
066B 066D
8A2B 8A2D
C607 C601
27C0 27C6
27AD 27AB
8BFB 8BFD
2462 2464
7113 7115
58A0 58A6
2C13 2C15
15C1 15C7
BC82 BC84
3D8D 3D8B
FA81 FA87
D802 D804
FAEB FAED
D075 D073
F753 F755
6243 6245
1097 1091
9C68 9C6E
7337 7331
CAE8 CAEE
A55E A558
FB98 FB9E
5286 5280
BAE2 BAE4
F6FB F6FD
205F 2059
63B3 63B5
4AC9 4ACF
5411 5417
481C 481A
22EC 22EA
065A 065C
15BB 15BD
B3F4 B3F2
1810 1816
1160 1166
667F 6679
063B 063D
9E71 9E77
5FA3 5FA5
2CC0 2CC6
7178 717E
D84B D84D
0D0E 0D08
50BC 50BA
60E7 60E1
2691 2697
4600 4606
C0FA C0FC
8F57 8F51
86F8 86FE
78CB 78CD
038C 038A
3461 3467
7D4F 7D49
2D62 2D64
6C5D 6C5B
1935 1933
BE22 BE24
B97A B97C
7600 7606
253F 2539
617C 617A
8355 8353
6434 6432
FFAF FFA9
1F61 1F67
5C4A 5C4C
E873 E875
25A2 25A4
8713 8715
4AD8 4ADE
87C4 87C2
9AA3 9AA5
5B59 5B5F
7118 711E
67E5 67E3
6840 6846
2813 2815
FE79 FE7F
2EBC 2EBA
039E 0398
21AC 21AA
1283 1285
43C9 43CF
C2E5 C2E3
85FA 85FC
175D 175B
BADA BADC
E6CB E6CD
FB7D FB7B
654B 654D
E404 E402
1621 1627
4274 4272
9293 9295
C7D8 C7DE
D9CE D9C8
73E0 73E6
58A6 58A0
D4E6 D4E0
2C4E 2C48
0686 0680
01F8 01FE
6F3F 6F39
096B 096D
4CE9 4CEF
A16E A168
A3FF A3F9
010E 0108
2FA8 2FAE
7F25 7F23
DB78 DB7E
45BB 45BD
56CE 56C8
DA12 DA14
0C31 0C37
16AC 16AA
D7CD D7CB
8F36 8F30
BF29 BF2F
7A9A 7A9C
3F13 3F15
5D91 5D97
F563 F565
330F 3309
6C91 6C97
BF24 BF22
2768 276E
B9E0 B9E6
1DFD 1DFB
1008 100E
6840 6846
7E96 7E90
F459 F45F
FB4D FB4B
1EEC 1EEA
8844 8842
288A 288C
80AD 80AB
67D0 67D6
010A 010C
6D7F 6D79
B3A1 B3A7
47ED 47EB
6624 6622
8F1A 8F1C
0E49 0E4F
D974 D972
7EB6 7EB0
0AEB 0AED
778E 7788
B306 B300
BC2C BC2A
9094 9092
3EAE 3EA8
4151 4157
796E 7968
FF7C FF7A
1259 125F
4D5C 4D5A
3C0F 3C09
3723 3725
5EE8 5EEE
4BCB 4BCD
0119 011F
81B8 81BE
FAE7 FAE1
91CD 91CB
E85F E859
15A3 15A5
B7E4 B7E2
3881 3887
EFD8 EFDE
FABE FAB8
AB5B AB5D
0D3B 0D3D
09AE 09A8
A4D6 A4D0
3579 357F
2A3A 2A3C
1422 1424
DE2F DE29
53F9 53FF
27A2 27A4
B17F B179
DA68 DA6E
ACAB ACAD
0C05 0C03
5364 5362
4215 4213
5439 543F
9252 9254
E454 E452
510F 5109
66E0 66E6
BAF1 BAF7
86B2 86B4
C041 C047
CA19 CA1F
FFFC FFFA
3BD6 3BD0
AD38 AD3E
DF99 DF9F
845F 8459
C9F8 C9FE
8406 8400
BED0 BED6
534C 534A
BB67 BB61
9487 9481
086F 0869
065A 065C
C78F C789
846A 846C
04D0 04D6
81F9 81FF
462C 462A
86CB 86CD
1BE2 1BE4
FB56 FB50
9186 9180
7937 7931
0DD8 0DDE
6121 6127
BDEB BDED
70C9 70CF
C89B C89D
BDCB BDCD
A6D3 A6D5
465E 4658
1671 1677
FA2B FA2D
5A2A 5A2C
1485 1483
159A 159C
E2BD E2BB
4FF8 4FFE
8BD1 8BD7
C8F5 C8F3
3454 3452
F759 F75F
803A 803C
8524 8522
7A94 7A92
A652 A654
08AA 08AC
573E 5738
DA15 DA13
D488 D48E
1AE6 1AE0
3C1E 3C18
8A05 8A03
4C0D 4C0B
DB74 DB72
7F2C 7F2A
5C40 5C46
EE68 EE6E
EBE0 EBE6
C9A2 C9A4
705C 705A
9B0A 9B0C
202B 202D
715A 715C
A005 A003
9CBE 9CB8
3973 3975
4A8F 4A89
263C 263A
33ED 33EB
CDD2 CDD4
98C9 98CF
9680 9686
D217 D211
B7A7 B7A1
3A3F 3A39
DBE8 DBEE
044C 044A
A7E9 A7EF
2E82 2E84
1B40 1B46
DD35 DD33
BF72 BF74
60D3 60D5
3DDD 3DDB
C0D9 C0DF
C0B8 C0BE
F308 F30E
CA3B CA3D
639F 6399
0A8E 0A88
C337 C331
A06C A06A
1AD8 1ADE
6405 6403
B466 B460
216E 2168
BC86 BC80
0DA2 0DA4
8F4F 8F49
9800 9806
810B 810D
4140 4146
D1D4 D1D2
2F90 2F96
F522 F524
BE38 BE3E
0222 0224
D956 D950
DB50 DB56
5F55 5F53
2C7A 2C7C
AE6C AE6A
09BA 09BC
6235 6233
EFB5 EFB3
DA0D DA0B
954B 954D
6E88 6E8E
6FF5 6FF3
E029 E02F
C792 C794
47F3 47F5
F7D7 F7D1
4DA7 4DA1
B4E3 B4E5
56AB 56AD
132E 1328
D9B5 D9B3
0FC1 0FC7
05D0 05D6
6D3D 6D3B
AC7E AC78
D635 D633
1542 1544
5E2D 5E2B
06F7 06F1
686F 6869
6F5D 6F5B
6251 6257
BED4 BED2
CCCA CCCC
A71C A71A
AB46 AB40
ABA6 ABA0
CFB0 CFB6
931D 931B
030C 030A
F97C F97A
14D7 14D1
3775 3773
E6E7 E6E1
B24B B24D
EC08 EC0E
B6B5 B6B3
E0AA E0AC
BE29 BE2F
9204 9202
357A 357C
58E3 58E5
9E84 9E82
E90D E90B
2C4F 2C49
9D95 9D93
63EC 63EA
AAC2 AAC4
5AF8 5AFE
BC14 BC12
6C50 6C56
FC88 FC8E
2498 249E
7B40 7B46
4191 4197
8A84 8A82
882E 8828
16BE 16B8
D5CB D5CD
5032 5034
9FBD 9FBB
135A 135C
14DC 14DA
1426 1420
968B 968D
7F21 7F27
8F12 8F14
9F11 9F17
7728 772E
23B3 23B5
9970 9976
2506 2500
F823 F825
E1B7 E1B1
0344 0342
BC86 BC80
2D9F 2D99
9272 9274
424E 4248
2315 2313
A864 A862
616E 6168
158A 158C
CA63 CA65
4CE8 4CEE
0F5A 0F5C
C3ED C3EB
255A 255C
9EF8 9EFE
3943 3945
9D6B 9D6D
0760 0766
D45B D45D
829F 8299
99FA 99FC
C99B C99D
E795 E793
002F 0029
016D 016B
D1D2 D1D4
8F63 8F65
4C7B 4C7D
2C3F 2C39
05A6 05A0
D0CA D0CC
88AF 88A9
1D96 1D90
0BB1 0BB7
EBF8 EBFE
4C8B 4C8D
3CEE 3CE8
B01C B01A
D025 D023
399F 3999
1555 1553
31E4 31E2
772D 772B
425B 425D
A3B0 A3B6
8868 886E
14DE 14D8
773B 773D
3CBC 3CBA
122E 1228
6911 6917
B432 B434
86A5 86A3
9184 9182
79C1 79C7
912D 912B
5742 5744
6BC7 6BC1
9659 965F
F183 F185
C00F C009
028C 028A
F13A F13C
5BF0 5BF6
1800 1806
346C 346A
34DE 34D8
34D0 34D6
96F4 96F2
D9D7 D9D1
9DD2 9DD4
AEBE AEB8
6BEB 6BED
63C6 63C0
7B88 7B8E
61C3 61C5
ABB6 ABB0
8AA2 8AA4
3075 3073
1B46 1B40
0C3D 0C3B
DDBE DDB8
C399 C39F
1AFF 1AF9
DFE8 DFEE
E93A E93C
9B8F 9B89
94B4 94B2
909E 9098
F0DB F0DD
0261 0267
4B14 4B12
6510 6516
4310 4316
C82C C82A
F83B F83D
C139 C13F
5034 5032
AE61 AE67
F957 F951
5AA2 5AA4
98A1 98A7
1920 1926
FCBA FCBC
664C 664A
F2FD F2FB
4ADC 4ADA
CC52 CC54
60D3 60D5
632D 632B
912B 912D
E418 E41E
532A 532C
6CCA 6CCC
8E8F 8E89
E2E9 E2EF
9FAF 9FA9
A895 A893
F0BA F0BC
F4C1 F4C7
6BA0 6BA6
FF4F FF49
5440 5446
ABFC ABFA
7DB7 7DB1
E51A E51C
BB76 BB70
A784 A782
1CA1 1CA7
DBE6 DBE0
882C 882A
F56F F569
5382 5384
4638 463E
DA2D DA2B
403E 4038
10F9 10FF
1ECE 1EC8
DAD8 DADE
6AB7 6AB1
56DD 56DB
C207 C201
1283 1285
47A9 47AF
0189 018F
C26E C268
7AFD 7AFB
C026 C020
8AB3 8AB5
7C99 7C9F
7329 732F
495E 4958
D133 D135
D988 D98E
82F6 82F0
9E74 9E72
B348 B34E
7755 7753
AD85 AD83
9D4A 9D4C
C7A8 C7AE
03CC 03CA
C3A9 C3AF
D84B D84D
DC18 DC1E
3DD7 3DD1
69D7 69D1
D22F D229
F9E0 F9E6
7672 7674
6AA1 6AA7
A976 A970
ED9F ED99
A620 A626
ABD4 ABD2
9B8F 9B89
B8B4 B8B2
C94F C949
7EDB 7EDD
2587 2581
9CB0 9CB6
BDCF BDC9
A169 A16F
32EC 32EA
B600 B606
55FA 55FC
F69A F69C
1E8B 1E8D
D043 D045
709D 709B
B043 B045
1DF9 1DFF
28E5 28E3
07E2 07E4
595A 595C
9736 9730
A0CB A0CD
C554 C552
BFBF BFB9
BFA0 BFA6
DC84 DC82
AD4D AD4B
68A5 68A3
A5B9 A5BF
A9D1 A9D7
9E57 9E51
17A3 17A5
D9EC D9EA
1661 1667
536F 5369
A0BD A0BB
011E 0118
5CF9 5CFF
E647 E641
8B11 8B17
FD59 FD5F
2D68 2D6E
12E6 12E0
40CC 40CA
669A 669C
25A0 25A6
7FBD 7FBB
8FAF 8FA9
E08B E08D
E60F E609
FBD0 FBD6
2FDA 2FDC
BD86 BD80
1BE9 1BEF
E754 E752
6AD5 6AD3
EB10 EB16
B245 B243
DB88 DB8E
DBB9 DBBF
D5F3 D5F5
0979 097F
7348 734E
5FB5 5FB3
F065 F063
0E6D 0E6B
CAC8 CACE
E946 E940
C0E7 C0E1
8693 8695
C349 C34F
08B5 08B3
2CFD 2CFB
4490 4496
6EB2 6EB4
BE13 BE15
7F9B 7F9D
EA2C EA2A
B79E B798
06F7 06F1
569C 569A
ED0F ED09
5435 5433
3192 3194
65AD 65AB
BC30 BC36
EAA2 EAA4
A521 A527
FA16 FA10
58E0 58E6
CC40 CC46
D33F D339
58E5 58E3
FB10 FB16
8236 8230
6766 6760
CAC4 CAC2
91CE 91C8
8C01 8C07
58B2 58B4
D85D D85B
73CE 73C8
B41A B41C
E387 E381
C453 C455
21ED 21EB
CBB2 CBB4
9615 9613
E6CC E6CA
FEEA FEEC
8834 8832
01A2 01A4
C8AD C8AB
53BB 53BD
6B97 6B91
6A1F 6A19
C5AA C5AC
1CEE 1CE8
FE4D FE4B
063E 0638
D202 D204
FA7B FA7D
50E8 50EE
EED0 EED6
6E70 6E76
D772 D774
A86B A86D
032C 032A
0126 0120
898C 898A
E5F7 E5F1
9B2E 9B28
74D5 74D3
CC72 CC74
0F3F 0F39
EBB0 EBB6
3B1E 3B18
E96E E968
B7B5 B7B3
06F6 06F0
9021 9027
80B6 80B0
B99D B99B
F364 F362
C750 C756
B63D B63B
88DA 88DC
4E99 4E9F
FD68 FD6E
1780 1786
5778 577E
1E09 1E0F
1D1A 1D1C
965C 965A
FD2B FD2D
1B63 1B65
420C 420A
A236 A230
D959 D95F
DB90 DB96
D8D1 D8D7
88C0 88C6
DBB4 DBB2
2189 218F
0D53 0D55
F4D5 F4D3
ACA3 ACA5
8DC2 8DC4
42AE 42A8
8D12 8D14
AFD9 AFDF
778C 778A
68D4 68D2
A96C A96A
FBF3 FBF5
A4AB A4AD
5F2E 5F28
0573 0575
25EB 25ED
CE41 CE47
F4AC F4AA
3A15 3A13
3AF1 3AF7
AF59 AF5F
8D1D 8D1B
D79C D79A
2F97 2F91
3A83 3A85
2944 2942
348A 348C
415F 4159
A8FC A8FA
0EFD 0EFB
0A68 0A6E
DC5E DC58
